week,TREAT,REP,STATION,CARD,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,X20SPOT
35,1,2,4,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,1,2,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2,5,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,5,Old20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,1,2,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,2,5,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,1,2,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,1,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
29,1,3,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,1,3,1,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,1,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,3,1,Old20,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1,3,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,2,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,2,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,3,2,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,3,2,Old20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,2,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,3,2,Old20,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,2,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,1,3,3,Old20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,1,3,3,Old20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,3,Old20,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,3,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,3,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,4,Old20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
29,1,3,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,1,3,4,Old20,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,1,3,4,Old20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,3,4,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,4,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,3,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,1,3,5,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
31,1,3,5,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,5,Old20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,3,5,Old20,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,3,5,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,4,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
31,1,4,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,4,1,Old20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,4,1,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,4,1,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,2,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,2,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,1,4,2,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,4,2,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,4,2,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,4,2,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36,1,4,2,Old20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,4,3,Old20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,4,3,Old20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,4,3,Old20,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
