"TRAPID","TREAT","REPLICATE","STATION","PLOT","XUTM83","YUTM83"
120,"T2",4,5,24,634268.28,4696755.66
121,"T3",4,1,25,634203.33,4696861.06
122,"T3",4,2,25,634218.33,4696847.06
123,"T3",4,3,25,634233.33,4696859.06
124,"T3",4,4,25,634248.33,4696891.06
125,"T3",4,5,25,634263.33,4696869.06
126,"T2",3,1,26,634106.71,4696857.66
127,"T2",3,2,26,634121.71,4696843.66
128,"T2",3,3,26,634136.71,4696855.66
129,"T2",3,4,26,634151.71,4696887.66
130,"T2",3,5,26,634166.71,4696865.66
131,"T2",2,1,27,634010.02,4696854.91
132,"T2",2,2,27,634025.02,4696840.91
133,"T2",2,3,27,634040.02,4696852.91
134,"T2",2,4,27,634055.02,4696884.91
135,"T2",2,5,27,634070.02,4696862.91
136,"T1",1,1,28,633912.99,4696851.01
137,"T1",1,2,28,633927.99,4696837.01
138,"T1",1,3,28,633942.99,4696849.01
139,"T1",1,4,28,633957.99,4696881.01
140,"T1",1,5,28,633972.99,4696859.01
141,"T5",5,1,29,633903.41,4696964.37
142,"T5",5,2,29,633912.41,4696957.37
143,"T5",5,3,29,633921.41,4696946.37
144,"T5",5,4,29,633930.41,4696950.37
145,"T5",5,5,29,633939.41,4696972.37
146,"T1",5,1,30,634006.58,4696968.07
147,"T1",5,2,30,634021.58,4696954.07
148,"T1",5,3,30,634036.58,4696966.07
149,"T1",5,4,30,634051.58,4696998.07
150,"T1",5,5,30,634066.58,4696976.07
151,"T7",5,1,31,634102.61,4696970.84
152,"T7",5,2,31,634117.61,4696956.84
153,"T7",5,3,31,634132.61,4696968.84
154,"T7",5,4,31,634147.61,4697000.84
155,"T7",5,5,31,634162.61,4696978.84
156,"T4",5,1,32,634200.39,4696974.26
157,"T4",5,2,32,634215.39,4696960.26
158,"T4",5,3,32,634230.39,4696972.26
159,"T4",5,4,32,634245.39,4697004.26
160,"T4",5,5,32,634260.39,4696982.26
161,"T3",5,1,33,634196.82,4697087.99
162,"T3",5,2,33,634211.82,4697073.99
163,"T3",5,3,33,634226.82,4697085.99
164,"T3",5,4,33,634241.82,4697117.99
165,"T3",5,5,33,634256.82,4697095.99
166,"T2",5,1,34,634099.50,4697084.46
167,"T2",5,2,34,634114.50,4697070.46
168,"T2",5,3,34,634129.50,4697082.46
169,"T2",5,4,34,634144.50,4697114.46
